transaction_id,user_id,amount,historical_avg_amount,historical_std_amount,transaction_type,timestamp,hour,device_id,is_new_device,beneficiary_id,is_new_beneficiary,velocity_1h,velocity_24h,account_age_days,location_distance_score,is_fraud
TXN_LEGIT_006252,USER_1187,2443.91,1098.99,518.98,PAYMENT,2026-09-10T04:27:05.557639,18,DEV_USER_1187_2,0,BEN_USER_1187_0,0,1,2,1436,0.026,0
TXN_LEGIT_004684,USER_1112,2446.07,1913.85,443.99,TRANSFER,2026-08-04T21:00:05.557639,11,DEV_USER_1112_2,0,BEN_USER_1112_0,0,1,2,751,0.008,0
TXN_LEGIT_001731,USER_1011,1853.98,2027.01,566.36,PAYMENT,2026-07-13T01:52:05.557639,16,DEV_USER_1011_1,0,BEN_USER_1011_2,0,1,2,470,0.08,0
TXN_LEGIT_004742,USER_1162,4344.39,4810.43,937.9,PAYMENT,2026-06-20T21:14:05.557639,11,DEV_USER_1162_1,0,BEN_USER_1162_0,0,1,3,1403,0.126,0
TXN_LEGIT_004521,USER_1017,4494.02,4855.65,1008.4,PAYMENT,2026-07-22T21:31:05.557639,12,DEV_USER_1017_2,0,BEN_USER_1017_0,0,1,3,976,0.294,0
TXN_LEGIT_006340,USER_1071,2585.7,2888.44,500.88,PAYMENT,2026-06-24T21:47:05.557639,12,DEV_USER_1071_2,0,BEN_USER_1071_4,0,1,2,406,0.002,0
TXN_LEGIT_000576,USER_1058,3553.12,4175.42,386.57,TRANSFER,2026-07-07T02:38:05.557639,17,DEV_USER_1058_2,0,BEN_USER_1058_3,0,1,3,118,0.116,0
TXN_LEGIT_005202,USER_1229,1411.0,1036.47,318.82,TRANSFER,2026-08-16T04:09:05.557639,18,DEV_USER_1229_1,0,BEN_USER_1229_1,0,1,1,432,0.225,0
TXN_LEGIT_006363,USER_1044,6723.56,4526.29,672.21,DEBIT,2026-08-24T04:09:05.557639,18,DEV_USER_1044_2,0,BEN_USER_1044_2,0,1,3,1228,0.029,0
TXN_LEGIT_000439,USER_1177,415.55,1096.39,842.42,DEBIT,2026-08-09T04:02:05.557639,18,DEV_USER_1177_2,0,BEN_USER_1177_2,0,1,1,402,0.043,0
TXN_LEGIT_002750,USER_1050,50.0,932.0,836.41,PAYMENT,2026-07-14T06:45:05.557639,21,DEV_USER_1050_2,0,BEN_USER_1050_1,0,1,3,302,0.008,0
TXN_LEGIT_007487,USER_1227,1843.19,1267.03,692.63,PAYMENT,2026-07-01T04:57:05.557639,19,DEV_USER_1227_2,0,BEN_USER_1227_2,0,1,3,1114,0.228,0
TXN_LEGIT_005272,USER_1124,5437.72,4847.2,1053.01,PAYMENT,2026-07-01T01:31:05.557639,16,DEV_USER_1124_1,0,BEN_USER_1124_1,0,1,3,933,0.061,0
TXN_LEGIT_005653,USER_1131,2123.03,1388.35,718.33,DEBIT,2026-06-23T00:31:05.557639,15,DEV_USER_1131_1,0,BEN_USER_1131_3,0,1,3,961,0.026,0
TXN_LEGIT_003999,USER_1160,2988.91,3106.75,914.6,PAYMENT,2026-07-13T23:05:05.557639,13,DEV_USER_1160_1,0,BEN_USER_1160_3,0,1,3,1165,0.027,0
